Document_ID,Clean_Text,Sentiment
899,immers tale famou physicist,Neutral
900,biopic record,Neutral
901,masterli,Neutral
902,watch,Neutral
903,best work nolan,Positive
904,describ cinemat excel,Neutral
905,could given movi problem,Neutral
906,oppenheim action biografi,Positive
907,hour bleak exposit,Negative
908,overr film alltim,Neutral
909,nolan refin tool deliv masterpiec,Neutral
910,take time process,Neutral
911,excel biographi mani way,Neutral
912,openheim masterpiec unveil depth human complex,Negative
913,appreci oppenheim,Neutral
914,god film,Neutral
915,worst nolan movi,Negative
916,difficult follow captiv film incred element,Negative
917,overhyp f,Neutral
918,beyond tediou wast opportun,Neutral
919,openheim mindbend masterpiec,Neutral
920,excel movi,Neutral
921,masterpiec,Neutral
922,intens movi,Neutral
923,oppenheim,Neutral
924,breathtakingli beauti,Neutral
925,underwhelm,Neutral
926,hyperbol,Neutral
927,disappoint wide shallow swath,Negative
928,confus bore,Neutral
929,take time tell good stori one took time worth,Positive
930,great movi wont see,Positive
931,incred experi cinema art one draw never let go,Neutral
932,movi,Neutral
933,soundtrack hit hard,Negative
934,cinemat masterpiec,Neutral
935,classic hollywood hype,Positive
936,perfectli explos dialogu visual stori,Neutral
937,lead marathon fall final mile,Neutral
938,terribl disappoint,Neutral
939,power stay shadow,Neutral
940,oppenheim visual symphoni artist triumph,Neutral
941,question aris fil,Neutral
942,nearperfect biopic demand attent,Neutral
943,wont fear understand wont understand theyv use,Neutral
944,wonder remind art filmmak,Neutral
945,read book instead,Neutral
946,becom death destroy world,Negative
947,struggl film,Neutral
948,oppenheim visual well thought complex masterpiec,Negative
949,great movi great act histori,Positive
950,film command attent respect,Neutral
951,rivet explor geniu moral,Neutral
952,nolan magnum opu,Neutral
953,pinnacl nolan directori talent,Neutral
954,sure feel bore,Positive
955,christoph nolan next masterpiec,Neutral
956,standard film qualiti declin,Neutral
957,point creat movi,Neutral
958,celebr intellectu movi,Neutral
959,oppenheim masterclass intellig engag cinemat storytel,Neutral
960,intellectu emot,Neutral
961,great movi nolan fast moment okay peopl dont like movi stay away peopl,Positive
962,great pictur support nuclearfre world,Positive
963,fast pace overwhelm,Positive
964,poignant stori overwhelm exhaust score convolut edit,Neutral
965,best film christoph nolan,Positive
966,physic,Neutral
967,bore movi,Neutral
968,leav time think movi,Neutral
969,brilliant,Positive
970,movi chang sure process,Positive
971,except act small shortcom cinematographi storytel,Negative
972,nolan make audienc think like end incept,Neutral
973,best hour film ive seen,Positive
974,long worth see,Positive
975,breathtak,Neutral
976,overhyp,Neutral
977,nolan fan bore,Neutral
978,review,Neutral
979,stun unlik anyth ive experienc movi,Neutral
980,give man oscar,Neutral
981,world chang reform oppenheim cillian murphi moment,Neutral
982,terrif work,Neutral
983,superb cast sick shot great stori,Positive
984,low expect go,Neutral
985,fantast,Neutral
986,long gener biopic,Negative
987,edit style irrit left,Neutral
988,oppenheim cinemat experi youll rememb forev,Neutral
989,one import movi histori cinema,Neutral
990,nolan best yet,Positive
991,need flavour caiyenn pepper paprika instead got thyme basil,Neutral
992,youv never seen film like oppenheim,Neutral
993,wrong pictur,Negative
994,hour least consequenti thing happen ww,Negative
995,deserv hype accolad futur oscar come,Neutral
996,gari oldman truman biopic plea,Neutral
997,nolan direct movi would rate,Positive
998,make hour film bomb interest,Neutral
999,christoph nolan oppenheim masterpiec,Neutral
1000,go watch,Neutral
